Age,Gender,Yrs DL,Points,NCD,Engine cc,Ins Group,Stored,Car Age,Claim
52,M,26,0,4,1400,6,Garage,1,No
29,F,10,0,1,1200,3,Road,2,No
54,F,33,0,1,1200,2,Drive,7,No
32,M,12,0,2,1200,4,Garage,13,No
72,F,5,0,2,1200,2,Garage,7,Yes
66,M,43,0,4,1200,6,Road,5,Yes
28,F,6,0,1,1400,7,Garage,3,No
27,M,4,0,4,1600,6,Garage,2,No
50,M,30,0,2,1400,3,Garage,19,No
66,F,31,0,4,1400,5,Garage,7,Yes
74,F,56,0,0,1200,2,Drive,14,Yes
24,M,6,4,3,1200,4,Garage,3,Yes
28,F,9,0,4,1200,3,Road,1,No
71,M,34,0,1,1600,4,Garage,12,Yes
68,F,13,0,2,1600,7,Garage,10,Yes
23,M,6,0,2,1400,4,Garage,4,Yes
53,M,21,0,3,1800,6,Garage,10,Yes
80,F,18,0,2,1400,6,Road,10,Yes
51,F,22,0,1,1200,3,Garage,1,No
79,F,47,0,4,1400,4,Drive,1,Yes
80,F,46,0,0,1200,2,Road,5,Yes
58,F,13,0,4,1600,7,Garage,14,No
74,F,36,0,1,1400,6,Garage,4,Yes
25,M,8,0,0,1800,7,Garage,1,No
27,F,1,0,0,1200,6,Garage,5,No
79,M,10,0,3,1400,3,Garage,14,Yes
41,M,13,0,4,1200,6,Road,2,Yes
77,F,4,4,4,1200,5,Garage,1,Yes
67,F,28,0,3,1200,5,Road,11,Yes
25,M,4,0,1,1400,5,Road,3,No
46,M,8,8,4,1200,2,Garage,13,Yes
64,F,31,0,4,1800,6,Road,1,Yes
47,F,28,0,3,1400,4,Garage,1,No
58,F,37,4,3,1200,2,Garage,2,Yes
44,F,7,0,1,1400,6,Road,13,Yes
34,M,6,4,3,1200,3,Drive,1,Yes
28,M,10,0,0,1400,3,Road,1,No
76,M,34,0,2,1400,2,Garage,11,No
50,M,18,0,3,1800,5,Drive,8,Yes
21,M,1,0,3,1200,6,Road,6,Yes
51,M,4,0,3,1400,3,Drive,2,No
39,M,15,0,4,1400,4,Garage,1,No
35,M,9,0,0,1400,4,Garage,18,No
63,M,11,0,2,1400,3,Garage,4,No
78,M,42,0,1,1600,5,Garage,1,No
41,M,8,0,0,1200,2,Garage,8,No
65,M,45,0,1,1200,2,Garage,1,No
72,F,7,0,4,1600,3,Garage,1,Yes
57,M,37,0,3,1200,4,Road,13,Yes
67,F,39,0,4,1200,5,Garage,6,No
36,M,9,0,3,1200,6,Garage,10,No
35,F,6,0,0,1200,5,Garage,8,No
58,F,18,0,4,1200,6,Garage,3,No
67,F,50,0,3,1200,3,Garage,4,No
63,M,24,0,4,1200,4,Garage,3,No
26,M,5,0,3,1400,5,Garage,2,No
68,F,20,0,0,1200,4,Garage,9,No
58,M,25,0,1,1200,5,Drive,3,Yes
36,F,15,0,0,1600,4,Road,1,No
37,F,18,0,1,1200,5,Garage,2,No
70,F,44,0,0,1400,4,Garage,2,Yes
20,F,1,0,3,1200,4,Garage,1,No
67,F,39,0,3,1600,4,Garage,1,Yes
60,F,22,0,2,1600,4,Garage,1,Yes
32,M,7,0,0,1400,5,Road,2,Yes
40,M,14,0,4,1600,5,Road,4,Yes
19,M,2,0,1,1200,4,Drive,15,Yes
55,F,33,0,0,2000,4,Garage,13,Yes
77,F,10,0,0,1600,4,Drive,10,Yes
23,M,5,0,4,1400,6,Garage,2,Yes
72,F,47,0,2,1400,4,Road,11,Yes
37,M,4,0,0,1200,3,Road,12,Yes
28,M,1,0,2,1600,5,Drive,1,Yes
18,M,1,0,1,1400,3,Garage,2,Yes
77,F,16,0,1,1200,2,Garage,1,Yes
39,M,21,0,4,1400,2,Garage,11,No
27,F,5,0,1,1200,3,Garage,3,No
71,F,9,0,0,1200,2,Road,9,Yes
62,F,12,0,3,1400,4,Drive,11,Yes
56,M,35,8,1,1200,3,Garage,1,Yes
25,F,3,0,2,1400,6,Garage,6,No
43,M,21,0,1,1200,5,Garage,10,No
32,M,2,0,1,1200,2,Garage,6,No
35,M,6,0,1,1200,4,Garage,3,No
67,M,31,0,1,1400,4,Garage,2,No
72,F,48,0,3,1200,2,Garage,5,No
24,M,6,0,3,1400,4,Garage,3,Yes
31,M,13,0,4,1200,4,Road,6,Yes
32,M,5,0,1,1200,6,Road,1,Yes
77,F,38,0,1,1600,3,Garage,3,Yes
79,M,31,0,2,1400,4,Garage,3,No
49,F,21,0,3,1200,2,Garage,6,No
46,M,29,0,3,1200,3,Garage,18,No
32,F,13,0,2,1400,3,Garage,4,No
69,F,5,0,1,1200,5,Garage,3,No
39,F,15,0,4,1200,6,Garage,8,No
69,F,41,0,4,1400,5,Garage,19,Yes
54,F,36,0,3,1200,2,Road,1,No
77,M,41,8,2,1200,5,Garage,2,Yes
21,M,3,0,4,1400,7,Garage,14,Yes
49,M,6,4,3,1400,5,Garage,2,Yes
47,F,5,0,3,1200,5,Road,1,Yes
76,F,20,0,1,1200,3,Garage,3,Yes
29,F,11,0,1,1400,6,Garage,1,No
19,M,2,0,0,1400,6,Garage,4,Yes
60,F,14,0,1,1600,3,Drive,19,Yes
59,M,12,0,1,1200,6,Garage,1,No
33,M,2,0,1,1400,6,Garage,13,No
40,M,5,0,2,1200,6,Garage,1,No
67,M,3,0,3,1800,4,Garage,12,Yes
52,F,21,0,2,1400,3,Garage,3,No
43,M,10,0,0,1200,2,Garage,10,No
62,M,30,0,2,1600,7,Garage,9,Yes
57,M,17,0,4,1200,3,Road,3,Yes
73,F,13,0,4,1400,3,Road,1,Yes
55,F,8,0,2,1200,2,Road,15,Yes
35,F,3,0,4,1200,6,Garage,1,No
47,F,12,0,1,1200,2,Garage,7,No
75,M,47,0,2,1200,3,Garage,3,No
44,M,14,0,2,1200,5,Garage,1,No
19,M,2,0,4,1200,6,Garage,1,No
20,F,2,0,0,1200,4,Road,3,Yes
63,M,39,0,2,1200,4,Garage,1,No
68,F,41,4,2,1200,6,Garage,1,Yes
34,M,16,4,0,1400,6,Garage,2,Yes
50,M,17,0,3,1200,4,Garage,6,No
26,F,2,4,1,1200,4,Garage,10,Yes
71,M,36,0,3,1200,3,Garage,7,No
80,F,15,4,0,1200,6,Garage,16,Yes
65,M,7,0,2,1600,4,Garage,5,No
34,M,17,0,3,1200,4,Garage,2,No
80,F,47,0,2,1400,2,Garage,6,Yes
30,F,10,0,3,1200,4,Garage,2,No
31,F,13,0,1,1400,4,Garage,3,No
57,M,19,0,3,1200,2,Garage,3,No
68,F,30,0,4,1600,6,Drive,9,Yes
55,M,27,0,0,2000,6,Drive,13,Yes
28,F,3,0,2,1400,5,Garage,11,No
39,M,3,0,0,1800,6,Garage,15,No
42,M,16,0,3,1400,4,Drive,2,No
43,M,1,0,2,1800,3,Garage,1,No
37,M,14,0,2,1400,5,Garage,12,No
26,M,9,0,4,1200,2,Road,2,No
37,F,1,0,4,1600,5,Drive,1,No
21,F,4,0,1,1200,5,Garage,1,No
58,F,29,8,2,1200,4,Garage,7,Yes
52,M,35,0,3,1400,3,Garage,6,No
79,F,22,0,1,1600,4,Garage,5,Yes
66,F,47,0,1,1400,3,Garage,4,No
31,M,12,0,4,1200,6,Garage,17,No
27,M,4,0,1,1200,6,Road,1,No
32,M,7,0,0,1200,2,Garage,17,No
56,F,27,0,0,1200,2,Road,1,No
53,M,5,0,4,1200,2,Drive,1,No
36,F,7,0,2,1200,2,Garage,9,No
38,F,11,0,4,1200,4,Garage,1,No
19,F,2,0,4,1400,6,Garage,15,Yes
20,M,3,0,1,1400,4,Garage,1,Yes
32,M,4,0,0,1400,2,Garage,3,No
68,F,6,0,2,1200,5,Garage,3,No
58,M,23,0,2,1400,4,Road,1,Yes
40,F,12,0,0,1200,5,Road,10,Yes
71,M,53,0,3,1800,7,Garage,4,No
49,F,31,0,2,1800,5,Garage,9,No
21,F,2,0,1,1200,2,Garage,1,No
71,F,49,0,3,1400,5,Road,15,Yes
41,M,21,4,1,1200,6,Garage,14,Yes
26,F,1,0,3,1400,4,Garage,1,No
64,F,46,0,1,1400,7,Garage,17,Yes
67,M,46,0,4,1200,4,Garage,2,No
80,F,32,0,0,1200,6,Road,4,Yes
76,M,47,0,4,1200,2,Garage,16,No
23,M,1,0,4,1200,4,Garage,2,No
52,M,3,0,2,1400,4,Garage,10,No
33,M,6,0,2,1200,3,Road,1,No
49,M,30,0,1,1400,3,Garage,4,No
63,M,3,4,3,1400,3,Garage,5,Yes
42,M,2,0,2,1200,4,Garage,3,No
70,M,7,0,0,1400,4,Road,1,Yes
64,M,14,0,4,1400,5,Garage,7,No
35,F,17,0,2,1400,7,Garage,12,No
47,F,20,4,2,1400,3,Garage,1,Yes
35,M,18,0,0,1400,2,Garage,3,No
19,M,1,0,3,1200,5,Garage,4,Yes
45,M,20,0,2,1200,2,Drive,18,No
30,F,7,0,3,1200,6,Road,11,Yes
79,M,16,0,2,1400,5,Garage,1,No
45,M,9,0,2,1800,6,Garage,2,No
76,M,3,0,0,1200,3,Garage,11,No
28,M,7,0,2,1400,2,Garage,9,No
45,M,14,0,2,1400,2,Garage,2,No
67,M,17,0,2,1400,5,Garage,3,No
79,M,41,0,3,1400,4,Garage,3,No
46,M,28,0,0,1200,5,Garage,12,No
49,M,28,0,2,1200,6,Garage,15,No
68,M,28,0,2,1200,3,Garage,8,No
73,F,34,0,2,1200,3,Drive,2,Yes
43,M,20,0,1,2000,8,Garage,1,No
59,F,25,0,0,1600,7,Garage,12,Yes
48,F,4,0,0,1600,7,Garage,6,No
40,M,13,0,3,1400,2,Garage,1,No
60,M,33,0,2,1200,2,Garage,2,No
24,F,6,0,2,1600,6,Garage,1,Yes
29,M,3,0,3,1600,4,Garage,1,No
76,M,7,0,3,1200,4,Garage,12,No
51,F,19,0,0,1400,3,Garage,19,No
51,M,1,0,3,1400,5,Garage,7,No
58,F,26,0,4,1400,4,Garage,5,Yes
57,F,26,0,0,1200,2,Garage,8,No
77,F,15,8,1,1400,6,Garage,2,Yes
75,F,27,0,4,1200,4,Garage,6,Yes
65,M,48,0,0,1600,3,Garage,3,No
51,M,5,4,0,1600,3,Drive,5,Yes
34,F,7,0,0,1200,6,Garage,2,No
28,M,10,4,4,1400,4,Garage,1,Yes
33,F,10,8,4,1200,4,Road,3,Yes
48,F,16,8,2,1800,6,Road,7,Yes
69,F,1,0,3,1200,5,Garage,4,No
24,F,2,0,1,1800,7,Garage,9,Yes
60,F,28,8,2,1200,3,Road,3,Yes
62,M,6,0,2,1400,4,Drive,1,No
28,F,5,0,4,1200,3,Garage,10,No
74,M,57,0,3,1400,6,Garage,13,Yes
75,F,5,0,2,1200,4,Garage,1,No
50,M,28,0,3,1400,4,Garage,11,No
38,F,13,0,3,1600,2,Garage,1,No
80,F,56,0,2,1200,2,Garage,3,Yes
49,M,14,0,2,1400,4,Garage,7,No
65,M,26,0,1,1200,2,Road,6,No
75,M,45,0,0,1200,5,Garage,8,No
39,M,7,0,2,1200,2,Garage,2,No
69,M,11,4,3,1800,6,Drive,9,Yes
27,M,2,0,1,1600,5,Garage,4,No
48,F,20,0,3,1200,5,Road,2,No
18,F,1,0,4,1200,4,Road,2,Yes
25,M,3,0,4,1400,4,Garage,4,No
71,M,22,0,4,1200,4,Garage,14,No
56,F,15,0,4,1200,3,Garage,1,No
46,M,18,0,2,1400,3,Road,6,No
49,F,10,4,3,1400,2,Garage,1,Yes
65,F,46,0,0,1600,6,Garage,16,Yes
30,M,7,0,0,1200,5,Garage,18,No
27,F,4,0,4,1200,6,Road,6,No
54,F,32,4,2,1400,5,Garage,5,Yes
75,F,41,0,2,1200,2,Garage,17,Yes
20,M,2,0,1,1200,4,Garage,2,No
71,M,36,4,0,1600,6,Garage,3,Yes
76,M,20,0,2,1200,3,Garage,2,No
32,F,7,0,1,1600,4,Garage,2,No
50,F,19,8,2,1800,3,Garage,1,Yes
24,M,7,0,4,1400,2,Garage,1,Yes
60,M,10,0,3,1200,6,Garage,9,Yes
33,M,10,0,4,1400,4,Garage,1,No
25,F,4,8,4,1400,3,Road,2,Yes
57,M,38,0,2,1200,5,Garage,3,No
60,F,34,0,0,1800,6,Garage,18,Yes
79,M,13,0,4,1600,6,Garage,6,Yes
54,F,23,0,0,1200,3,Road,1,Yes
62,M,16,8,0,1200,5,Garage,12,Yes
48,F,17,0,2,1200,4,Garage,1,No
21,M,1,0,2,1200,4,Garage,1,Yes
37,M,14,0,0,1200,4,Garage,7,No
18,M,1,0,2,1200,4,Garage,2,No
69,F,1,0,2,1400,5,Garage,17,Yes
73,M,25,0,2,1200,6,Garage,3,No
30,F,7,0,0,1200,5,Garage,12,No
80,M,15,0,2,1800,5,Road,2,Yes
18,F,1,0,0,2000,4,Drive,4,Yes
41,F,22,0,2,1200,3,Road,7,No
61,M,33,8,3,1400,2,Road,4,Yes
65,F,44,0,4,1800,7,Road,9,Yes
23,M,6,0,1,1400,4,Garage,1,Yes
28,F,3,0,0,1600,6,Garage,4,No
41,M,14,0,0,1200,4,Garage,4,No
41,M,22,0,2,1200,4,Garage,2,No
62,F,14,0,0,1400,6,Garage,7,Yes
29,F,1,0,0,2000,5,Garage,6,No
20,F,3,0,2,1600,2,Garage,2,Yes
76,F,52,0,2,1200,2,Garage,2,Yes
38,M,9,0,2,1600,7,Garage,3,No
25,M,6,0,4,2000,5,Road,8,Yes
52,F,25,0,0,1200,5,Road,12,Yes
28,M,2,0,4,1200,4,Drive,2,No
79,F,40,0,0,1600,6,Garage,5,Yes
52,M,14,0,3,1200,5,Garage,8,No
65,F,45,0,1,1600,4,Road,5,Yes
71,M,3,0,0,1200,5,Garage,14,No
30,M,12,0,1,1800,6,Road,13,Yes
47,M,16,0,4,1400,3,Road,7,Yes
66,F,23,0,1,1200,4,Garage,1,No
53,F,35,0,0,1600,4,Garage,6,No
65,F,1,0,2,1200,5,Garage,13,Yes
28,F,2,0,1,1200,6,Garage,3,No
24,M,4,0,2,1200,3,Garage,1,No
76,M,36,8,2,1400,7,Garage,5,Yes
73,F,4,0,1,1400,7,Garage,11,Yes
21,F,4,0,3,1200,5,Garage,1,No
29,F,12,0,0,1200,2,Road,14,No
37,F,14,0,2,1200,2,Garage,6,No
41,M,23,0,4,1400,6,Road,3,Yes
77,M,35,0,2,1800,7,Drive,10,Yes
27,F,6,0,1,1200,4,Garage,6,No
56,M,19,0,0,1400,5,Garage,4,No
66,F,42,0,4,1800,5,Garage,1,Yes
47,M,20,0,2,1200,4,Garage,8,No
57,M,13,0,4,1600,6,Garage,16,No
33,M,9,0,2,1400,5,Garage,6,No
31,F,9,0,0,1200,2,Garage,1,No
65,M,38,0,4,1400,5,Garage,7,No
23,M,1,4,2,1200,5,Road,5,Yes
43,M,12,0,4,1200,6,Garage,2,No
36,M,3,0,2,1400,3,Drive,1,No
70,F,30,0,4,1600,5,Garage,10,Yes
64,F,30,0,0,1400,2,Road,8,Yes
75,F,20,0,3,1400,2,Drive,4,Yes
48,F,1,0,1,1200,6,Road,3,Yes
31,M,3,0,3,1200,5,Drive,6,No
46,M,5,0,3,1400,2,Road,2,No
71,M,31,0,4,1600,4,Road,4,Yes
31,F,11,0,3,1400,2,Garage,6,No
32,M,7,0,1,1400,2,Garage,2,No
51,M,8,4,2,1400,4,Garage,7,Yes
61,M,23,0,0,1400,6,Drive,12,Yes
40,F,7,0,0,1600,6,Road,1,Yes
34,F,6,0,1,1200,6,Garage,1,No
25,F,7,0,2,1400,3,Drive,1,No
59,F,4,0,0,1200,3,Garage,10,No
42,M,21,0,2,1200,6,Garage,1,No
38,M,5,0,2,2200,4,Road,5,Yes
52,F,5,0,2,1600,4,Garage,2,No
73,F,55,0,0,1200,5,Garage,1,No
78,F,10,0,4,1200,2,Garage,8,Yes
22,F,3,0,0,1200,4,Garage,1,No
64,F,37,0,2,1200,5,Drive,18,Yes
64,M,31,0,0,1200,6,Road,2,Yes
52,M,22,0,2,2000,4,Garage,12,Yes
61,F,28,0,3,1200,3,Garage,4,No
42,F,6,0,1,1800,5,Drive,16,Yes
43,F,5,0,2,1400,4,Road,1,No
36,F,5,4,3,1200,5,Road,8,Yes
50,M,29,0,1,1200,2,Road,1,No
31,F,9,0,1,1200,5,Road,1,No
38,M,5,0,3,1400,4,Garage,5,No
35,F,12,0,2,1200,6,Garage,2,No
73,M,48,0,2,1400,4,Garage,12,No
29,F,3,0,3,1600,2,Garage,1,No
38,M,8,0,1,1200,4,Road,1,No
39,M,7,0,4,1800,3,Garage,6,No
24,F,3,0,4,1600,5,Drive,3,Yes
44,M,22,0,4,1400,7,Road,2,Yes
73,F,34,0,1,1400,5,Drive,1,Yes
33,F,6,0,1,1200,5,Road,1,No
78,F,22,0,2,1200,4,Garage,1,Yes
37,M,10,0,0,1600,5,Garage,4,No
53,M,3,0,4,1200,3,Road,7,No
25,M,7,0,2,1200,6,Garage,19,No
45,M,17,0,3,1400,5,Garage,1,No
19,F,1,0,4,1400,2,Drive,1,No
48,F,11,0,2,1600,6,Road,11,Yes
77,F,19,4,4,1400,6,Garage,2,Yes
48,F,5,0,0,1400,4,Garage,15,No
50,M,16,0,4,1400,6,Garage,3,No
64,F,46,0,4,1200,6,Garage,14,Yes
20,F,1,0,2,1400,6,Garage,1,No
67,F,40,0,4,1800,4,Road,8,Yes
42,M,16,0,4,1200,5,Garage,2,No
76,M,21,4,0,1200,2,Garage,12,Yes
42,F,15,0,4,1200,3,Road,2,No
46,F,16,0,0,1200,3,Garage,2,No
71,F,30,4,0,1200,5,Garage,1,Yes
60,F,32,4,3,1200,2,Garage,1,Yes
20,M,1,0,1,1200,5,Drive,16,Yes
32,F,3,0,3,1200,3,Garage,16,No
37,M,20,0,4,1200,4,Garage,9,No
56,M,3,0,0,1400,4,Garage,5,No
66,M,14,0,1,1400,6,Garage,1,No
35,M,18,0,4,1600,2,Drive,2,No
74,M,24,0,4,1600,7,Garage,10,No
74,M,21,0,1,1200,5,Garage,9,Yes
47,F,1,0,1,1800,5,Garage,6,No
40,F,10,0,1,1200,2,Garage,4,No
62,F,1,0,4,1800,6,Garage,1,Yes
46,M,14,8,0,1400,5,Garage,1,Yes
61,F,26,0,3,1400,6,Road,18,Yes
31,M,11,0,4,1200,6,Garage,5,No
75,M,12,0,2,1800,3,Garage,3,No
21,F,2,8,3,1200,4,Road,3,Yes
21,F,2,0,0,1400,5,Garage,7,No
64,M,26,0,4,1600,5,Garage,2,Yes
42,M,23,4,4,1400,5,Garage,12,Yes
35,M,15,0,0,1400,6,Garage,1,No
43,F,4,0,2,1200,2,Garage,2,No
29,M,2,8,3,1600,2,Garage,1,Yes
72,M,43,4,2,1600,5,Garage,5,Yes
49,M,16,0,2,1200,3,Garage,2,No
76,M,4,0,1,1600,6,Garage,13,Yes
32,M,6,0,4,1400,3,Road,3,No
71,M,28,0,3,1200,2,Road,1,No
34,M,1,0,1,1600,7,Road,18,Yes
53,F,31,0,3,1400,5,Garage,2,No
78,F,6,0,2,1200,4,Road,6,Yes
57,F,4,0,2,1400,4,Garage,1,No
31,F,11,0,2,1400,5,Garage,4,No
73,M,35,0,1,1400,7,Garage,1,Yes
37,F,12,0,4,1600,6,Garage,1,No
74,M,13,4,4,1400,4,Road,1,Yes
27,F,4,0,1,1200,5,Garage,4,No
61,M,13,0,1,1400,3,Drive,2,Yes
22,F,4,0,0,1200,2,Road,1,No
80,F,22,8,2,1400,3,Garage,2,Yes
19,F,2,0,0,1200,5,Garage,1,No
56,M,22,0,4,2400,8,Garage,11,Yes
45,F,24,0,0,1400,3,Drive,4,No
45,M,25,0,2,1600,5,Garage,1,No
47,F,29,4,3,1600,3,Road,1,Yes
50,F,28,0,3,1200,6,Garage,1,No
55,F,3,0,4,1200,6,Road,2,Yes
58,M,31,0,4,1200,4,Garage,1,No
57,M,4,0,0,1600,3,Garage,5,Yes
54,F,37,0,1,1400,4,Road,2,Yes
53,M,7,0,2,1200,3,Road,13,Yes
40,M,3,0,4,2000,7,Garage,10,Yes
29,M,11,0,0,1400,7,Garage,12,No
45,F,26,0,3,1400,6,Garage,5,No
40,M,19,8,4,1800,3,Garage,2,Yes
23,F,1,8,4,2000,4,Garage,1,Yes
59,F,6,0,1,1200,5,Drive,1,Yes
77,M,16,0,1,1400,4,Garage,5,No
65,M,15,0,3,1200,4,Garage,15,No
48,F,13,0,1,2000,6,Garage,18,Yes
39,M,12,0,3,1200,4,Garage,8,No
33,M,15,8,3,2000,6,Garage,4,Yes
73,F,16,0,0,1200,3,Garage,1,Yes
30,M,7,0,0,1200,3,Garage,3,No
71,F,8,0,0,1200,3,Drive,10,Yes
60,M,4,0,1,1400,6,Garage,12,Yes
32,M,4,0,4,1200,6,Garage,1,No
52,F,21,0,0,1400,5,Drive,2,No
18,M,1,0,3,1600,3,Road,2,Yes
33,F,16,0,0,1200,4,Garage,5,No
42,M,24,0,0,1400,3,Garage,4,No
76,M,6,0,0,1200,3,Garage,14,No
46,M,14,0,1,1200,2,Garage,1,No
18,F,1,0,2,1600,3,Garage,1,Yes
32,M,10,0,0,1600,3,Garage,3,No
74,M,57,0,4,1400,5,Garage,3,No
67,F,34,0,1,1400,3,Garage,2,No
25,F,6,0,0,1200,6,Garage,6,No
55,M,35,0,3,1400,2,Garage,3,No
36,M,9,0,3,1400,3,Road,1,No
55,M,32,0,1,1800,7,Garage,11,No
21,M,1,0,3,1200,2,Garage,8,No
72,M,35,0,3,1200,6,Garage,2,No
70,F,14,0,4,1200,3,Garage,20,Yes
55,F,38,0,3,1200,2,Garage,3,No
72,F,18,0,0,1200,4,Garage,1,No
51,M,12,0,2,1600,6,Garage,1,No
75,M,58,0,2,1400,4,Garage,1,No
74,M,29,4,0,2000,4,Garage,7,Yes
35,F,13,0,1,1200,3,Garage,4,No
79,F,5,0,3,1200,6,Garage,2,Yes
37,M,13,0,0,1200,2,Drive,2,No
74,F,28,0,4,1400,6,Garage,1,Yes
34,M,10,0,0,2000,7,Road,15,Yes
28,M,9,0,4,1200,3,Garage,1,No
30,M,8,0,4,1400,5,Garage,19,No
50,F,6,0,3,1400,3,Garage,6,No
34,M,1,0,1,1200,2,Garage,1,No
61,M,8,0,2,1200,5,Drive,3,No
54,F,17,0,2,1400,2,Garage,2,No
50,F,29,0,2,1400,5,Garage,2,No
53,M,35,0,3,1200,3,Garage,1,No
24,F,4,0,4,1200,6,Garage,4,No
45,F,21,0,0,1800,6,Garage,1,No
61,F,19,0,2,1800,7,Garage,1,Yes
51,M,8,0,1,1600,7,Garage,3,No
80,M,6,0,1,1200,4,Garage,3,No
63,F,24,0,4,1200,5,Garage,1,No
26,F,1,0,0,1200,3,Garage,8,No
25,M,2,0,2,1400,6,Drive,6,No
72,F,30,0,1,1400,2,Drive,12,Yes
57,M,12,4,1,1200,6,Road,8,Yes
28,M,4,0,0,1200,4,Garage,18,No
30,M,9,4,4,1400,5,Road,11,Yes
28,F,10,0,0,1200,6,Garage,1,No
25,M,5,0,1,1200,2,Drive,1,No
76,M,8,0,4,1200,2,Garage,1,No
74,F,23,0,4,1200,2,Road,2,Yes
31,M,14,0,2,1600,5,Garage,14,No
47,F,26,0,0,1200,4,Garage,5,No
48,M,3,8,0,1200,6,Garage,2,Yes
26,F,8,0,3,1600,4,Garage,4,No
23,M,3,0,3,1800,3,Garage,1,Yes
21,M,2,0,4,1200,2,Garage,1,Yes
19,M,2,0,4,2000,3,Garage,1,Yes
25,F,8,0,4,1600,6,Road,1,Yes
20,M,1,0,2,1200,3,Garage,2,No
74,M,51,0,3,1400,5,Road,1,Yes
63,M,39,0,4,1400,4,Road,7,Yes
67,M,32,0,4,1400,6,Garage,1,No
26,M,4,0,2,1400,5,Drive,6,No
43,M,1,4,3,1800,5,Garage,5,No
59,M,30,0,2,1200,6,Garage,12,Yes
78,M,55,0,0,1200,5,Garage,16,Yes
78,F,32,0,4,1400,3,Garage,4,Yes
64,F,36,4,4,1400,6,Garage,2,Yes
38,F,8,0,1,1400,5,Garage,2,No
40,M,15,0,2,1400,6,Garage,1,No
66,M,40,4,4,1400,3,Garage,5,Yes
43,F,7,0,1,1400,2,Road,2,No
69,M,37,0,0,1200,5,Garage,7,No
64,M,18,0,0,1400,6,Garage,4,No
31,M,1,0,3,1200,6,Garage,3,No
43,M,4,0,2,1600,3,Garage,6,No
62,F,27,0,3,1200,6,Garage,14,No
66,M,10,0,4,1200,6,Road,1,Yes
42,M,24,8,2,1400,6,Garage,2,Yes
21,F,1,4,1,1200,4,Garage,3,No
46,M,1,0,3,1400,3,Garage,8,No
36,M,16,0,0,1200,3,Road,15,Yes
74,M,35,0,4,1200,4,Garage,7,No
49,M,20,0,4,1400,5,Garage,3,No
24,M,1,0,2,1200,4,Garage,1,Yes
52,F,2,8,2,1200,3,Road,3,Yes
47,F,24,0,1,1800,4,Garage,6,No
53,F,7,0,1,1200,5,Garage,1,No
37,F,18,0,4,1200,2,Drive,1,No
71,F,51,4,1,1400,4,Garage,2,Yes
25,F,1,0,4,1600,6,Garage,3,No
43,M,19,0,1,1400,3,Garage,4,No
69,F,40,0,3,1200,3,Garage,10,Yes
39,M,2,0,2,1400,6,Garage,2,No
56,F,29,0,1,1400,5,Drive,2,Yes
44,F,2,0,2,1800,3,Garage,3,No
41,F,8,4,2,1800,7,Garage,2,Yes
27,F,3,0,2,1400,6,Garage,4,No
20,F,1,0,2,1200,3,Garage,19,No
70,F,43,0,0,1200,6,Road,1,Yes
71,M,24,0,3,1200,4,Road,1,Yes
